Frame,Predicted Label
398,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
399,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
400,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
401,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
402,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
403,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
404,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
405,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
406,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
407,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
408,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
409,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
410,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
411,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
412,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
413,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
414,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
415,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
416,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
417,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
418,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
419,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
420,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
421,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
422,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
423,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
424,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
425,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
426,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
427,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
428,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
429,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
430,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
431,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
432,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
433,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
434,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
435,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
436,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
437,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
438,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
439,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
440,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
441,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
442,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
443,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
